Country Name,Country Code,Series Name,Series Code,2025 [YR2025],2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Niger,NER,Trade (% of GDP),NE.TRD.GNFS.ZS,..,49.97598374,46.47555806,52.80614843,37.01589355,35.51299066,37.10256643,37.5388484,39.07111174,36.48810922,44.72743037,45.74160084,46.29514915,45.08596447,50.24639516,51.9459863,49.5122567,39.71124405,35.50280285,36.53137318,38.34774181,36.96410445,33.38279314,30.83438575,33.01366708,34.7127807,31.37523672,35.01968955,33.17434539,36.53999764,34.7775357,33.64252862,26.09893765,28.70664995,30.33617924,35.61677356,39.89804357,41.88844334,45.98451144,40.69229502,53.52663718,49.87571527,47.73925875,57.06810853,60.35731579,62.71029742,65.41234282,50.35934881,48.97211232,56.6014748,50.24018357,41.24354352,39.24978802,34.70831407,27.968903,28.87307425,25.83069491,22.29032529,22.8043547,28.53846804,23.5004195,23.36530126,19.63342023,22.23136708,17.826578,14.50575374
Niger,NER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.394,0.376,0.407,0.403,0.806,0.591,0.531,0.536,0.556,0.55,0.556,0.524,1.401,2.177,0.316,0.718,1.208,1.584,2.021,2.528,3.1,2.751,2.145,1.808,1.47,1.427,1.385,1.381,1.503,1.498,1.494,1.502,1.541,1.569,1.588,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,9.561691767,9.733221369,8.759585595,7.923222659,10.2465813,12.85202981,14.60803886,13.07868448,13.29700538,11.53321494,10.60470377,11.04362961,13.49074284,19.62560166,18.6330147,13.79701693,8.120360453,8.435095263,8.461664055,8.909484726,8.084342998,9.880807397,8.248988698,8.168807855,7.619452394,7.030590147,6.174443942,6.508711496,8.037288168,7.007718165,8.234513857,5.241096469,4.957522443,5.090333177,6.066023538,6.602985867,7.574985288,6.039750503,6.266045741,6.208622851,6.450601547,5.802075118,12.22697431,10.3896346,10.99242781,9.244900997,7.619340543,6.814001935,4.699551112,6.048189624,6.140629106,5.390635542,4.921051163,6.649362708,7.865410498,7.810902438,7.203483003,6.699077715,6.328186669,6.439532572,5.572166384,3.704259447,3.696698931
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,4.062364089,3.326845564,4.318829495,1.109252539,-6.368898405,2.208429277,1.922757342,0.805886619,-1.616868949,2.652693295,6.309718655,6.671335393,4.230061175,5.307924203,8.005655916,8.036925101,6.764472778,6.591130361,6.059428032,6.438516525,9.250558229,7.347194968,15.32915574,5.917684649,5.015934759,0.584126893,2.581254102,2.937099419,4.195924047,-0.072664764,-1.814924485,-2.035118774,4.631192946,0.358352602,11.77688593,1.919381296,7.334025488,3.200125467,0.060945274,5.913027459,-1.115623217,-10.92408503,-6.803388815,-13.12788049,4.204831044,6.759430935,-5.764158394,6.02411785,9.042351726,-5.227747555,11.16067455,5.392760484,3.364262035,14.23753156,25.00724193,24.19738395,-1.248360246,-15.74362821,-4.250514184,4.884976834,4.950488666,8.578618915,4.102992589,0.19179549,..
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,..,1084.160418,2138.763837,2899.160475,2787.487792,2797.184581,3189.812865,2057.879446,1876.340271,2070.412734,2585.733607,3088.721313,2872.790834,2633.197347,2418.41317,2202.25673,1820.486339,2154.105435,1815.526975,1599.538916,1211.377035,962.4810419,763.3887454,712.1648521,566.4282318,547.3182989,480.6693639,1822.469985,1720.275409,1632.724694,1271.616174,744.8842472,539.5732023,508.5159057,596.9387957,556.3764491,465.4880895,539.5394684,587.9566134,628.2484537,868.6405405,890.4341063,1207.073746,1821.532655,2162.209954,870.3599347,660.9940409,526.8958529,535.9653078,556.3896877,438.0788139,402.8369998,252.3690325,209.4547763,160.4792558,224.462936,121.4366633,97.33720813,99.50149066,124.3824402,117.2872268,113.2973457,107.6757414,104.5324955,97.13752811,93.13700904
Nigeria,NGA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,33.24209665,24.6595502,18.84718778,16.95284572,13.24602343,11.39642234,12.09510652,16.50226621,15.69681264,9.00943498,8.04741088,8.495518383,12.2242413,10.82613719,13.74005214,12.53782773,11.58107517,5.388007969,8.22522152,17.86349337,14.99803382,14.03178361,12.8765792,18.87364621,6.933292156,6.618373395,9.996378124,8.529874214,29.26829268,72.8355023,57.03170891,57.16525283,44.58884272,13.0069731,7.364400306,50.46668812,54.51122478,11.29032258,5.717151454,7.435344828,17.82053329,23.21233155,7.697747247,20.81282291,9.97226199,11.70973062,21.70924574,15.08783406,24.3,33.96418832,12.67439318,5.402664454,3.457649752,15.99911485,13.75707992,10.1559792,-0.476059059,-3.726336765,9.690346084,4.103458738,0.856793146,-2.694655352,5.265632346,6.279147235,5.444327362
Nigeria,NGA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,21.56526383,9.530312376,9.642272998,8.902701018,9.229093985,6.572925156,7.4739427,9.905001421,7.36253513,10.13614105,10.93139758,15.49841133,12.1139463,9.416532663,13.77322067,10.9228593,14.15777283,30.50898859,13.7680109,12.66233724,11.68634874,..,2.497463041,..,..,4.970117797,4.725688831,6.252937584,6.845681256,5.518884692,3.703127275,3.777257203,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.16651287
Nigeria,NGA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.064,3.045,3.074,3.827,5.404,5.714,5.206,5.069,4.83,4.499,4.134,3.9,3.711,3.761,3.77,3.744,3.763,3.792,3.794,3.749,3.727,3.59,3.637,3.669,3.9,3.953,3.986,3.922,3.964,4.043,4.152,4.064,4.023,3.79,3.831,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,53.92650363,52.04149104,54.29532204,55.50101334,55.74662869,51.26796565,50.24445256,49.88447924,48.97800585,52.03203647,50.51355396,47.64909491,48.11219661,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,2.993735366,2.554965253,2.758884153,4.51067949,-4.68845001,3.910419538,2.88059671,1.081772738,2.848205194,3.85586514,3.629123513,2.925257665,-0.456183224,2.339886045,3.358750858,-0.358614857,5.47200139,6.473486858,5.137025162,4.724088642,4.67408958,2.222601657,1.493665472,-3.067256625,4.549135783,4.339027913,3.378735647,1.439981337,1.185103889,-1.114727694,-1.758166181,-7.469271319,-6.565198677,-6.170767648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,..,9291.856617,8674.358463,7606.237525,7620.80297,6659.596511,6718.858266,6713.989254,5955.297386,5598.486226,5262.686719,5925.385922,5626.261157,5049.826539,5416.866729,4833.365868,4799.787228,5026.420299,4204.113288,3440.441106,3120.984014,2818.581456,2445.362864,1989.135373,1823.022677,1861.898998,1915.392811,1875.816627,1959.560738,2306.53367,2355.247054,1786.354883,1336.647756,1198.928298,2402.135177,2277.303723,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,30.5962109,29.62780589,36.01663554,32.220798,29.91737389,34.2601161,32.32881107,32.27294348,32.50968821,30.40357525,30.29522526,28.80804796,28.92717638,26.91313396,24.46809484,25.74248352,27.93270505,23.71268662,21.40813523,19.84554883,21.04592109,17.92931736,20.83022341,17.35547341,21.88010264,18.72711477,21.16539054,19.93958899,19.09791856,19.73462097,14.70324675,15.2046342,14.72110269,16.80785124,17.76315789,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,3.48974086,9.361872498,14.20471732,3.230749121,1.200073489,0.766439573,1.458312985,1.351618897,-0.239290788,-0.299920476,-0.281705033,2.785000567,3.316055667,3.904754221,1.50997522,-0.739633963,8.33189667,2.251757983,3.213629296,0.525515951,-0.448650207,0.855562123,2.314597941,5.198885257,6.60742291,-1.279286576,0.544199653,1.294364872,2.466600086,16.37358897,126.5833683,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
